,LogisticRegression(),DecisionTreeClassifier(criterion='entropy'),ExtraTreesClassifier(criterion='entropy'),RandomForestClassifier(criterion='entropy')
n_amides,2.1134189576874842,0.0025058227125720296,0.010625052672564118,0.006547064804775207
n_ethers,1.5697631113684267,0.0008034608447070145,0.006578158920040286,0.001959562071482468
n_teramines,1.5187890091844714,0.0023456874505585947,0.008271282089204355,0.003295883508885984
n_secamines,1.0130982001200868,0.020442202646532334,0.013165240168280133,0.009564396556855342
n_fluoros,0.1608673758430293,0.0003231865153661285,0.0034368681171225673,0.0009342149753447421
n_chloros,0.11208334117534001,0.0007545808209500689,0.0048633493144636395,0.0009649096113481693
n_carboxacids,2.675146672271735,0.00027757667104265024,0.002190708161427262,0.0003772338215186184
n_oxos,2.7707589422554917,0.0,0.0046108039850984075,0.001076154263024999
n_phenols,1.0263456190903786,0.002808115738130963,0.004211544650070661,0.0015945780654807004
n_sulfoanamids,1.6258135207863738,0.0003837441845884438,0.004623051673157169,0.0010664900951719131
n_priamines,0.9216294190881582,0.00014934027854140894,0.003254674359224096,0.00046643974175814983
n_nitriles,0.1945792228503372,0.0002336745908961526,0.0018746073301914457,0.000409638165961148
n_alkenes,4.819941469978436,0.013149859301535219,0.012589941536006016,0.007959083889034994
n_anilines,0.05559229409862358,0.0008601087078150509,0.007032330445628111,0.0016114817130565026
n_halogens,0.1971593009927581,0.0008346795766657658,0.005680010424993501,0.0016688073882898393
n_alihydroxyls,1.2367145995027118,0.00014194986566530733,0.002349100664380465,0.0005650783489113343
n_arohydroxyls,0.8399566365594843,0.0004174815232697812,0.0036140444274253016,0.001543873792577711
n_atoms,0.09249638287472638,0.006754069440655664,0.008322856175334929,0.00955958276023212
n_heavyatoms,0.34885322122476536,0.003887491883968683,0.007476608527090239,0.005751232433304264
n_bonds,0.4290489661778287,0.0035557167528687617,0.007492079704942809,0.005914595106612413
exact_weight,0.5614255653115249,0.00612389375974183,0.007302997680835146,0.00863116306597765
log_p,3.302050805027955,0.024805765080164417,0.010682444743673487,0.018697048671995054
n_donors,0.011334664263637186,0.001051978968567101,0.00960385018922365,0.005813530791967534
n_acceptors,0.4063782433545292,0.002169034134082097,0.008677512353381411,0.0044846132151728935
n_rotbonds,0.34913209468626166,0.006672659805700546,0.008983446624410647,0.0059027554024567875
TPSA,0.8621977129400555,0.028708360671623002,0.009957355886551132,0.015612169132589138
n_arorings,1.5824960883096133,0.0026318314021595867,0.009135732319086001,0.003463880067715351
z_ecfp_0,0.5937467779672314,0.006612749971633605,0.00865367905054426,0.00939097211894008
z_ecfp_1,1.7202609942864358,0.017723375678918213,0.010893354362859613,0.01302242379018044
z_ecfp_2,0.8624468331263436,0.011401797040183195,0.008234710102276013,0.00912192726081684
z_ecfp_3,3.2073827336027203,0.023111205020381304,0.01317678310466775,0.017026533656523096
z_ecfp_4,0.7222386998974821,0.0062075883499597044,0.008211519735612854,0.008099209522205495
z_ecfp_5,0.6751966884715449,0.00503488849902739,0.007754986971783712,0.00828846661961175
z_ecfp_6,0.6386464252652246,0.009333485996992325,0.008252116041872416,0.008468597605561205
z_ecfp_7,0.4317393598234148,0.005265434884537332,0.0076113078343326215,0.0082750187779826
z_ecfp_8,0.9243503716526391,0.009964353661925626,0.00819698505220233,0.00894527169879327
z_ecfp_9,0.33750247497047703,0.008269137545812037,0.007863668000122887,0.008506422484789791
z_ecfp_10,0.026796804976352055,0.005903014290300236,0.007106801502767617,0.007318285907127178
z_ecfp_11,0.6467195144246873,0.011039386187878652,0.007911432920885269,0.008650923786803502
z_ecfp_12,0.19008266773598997,0.006433325321219023,0.007333984984961798,0.00802737121283591
z_ecfp_13,0.8462060731153328,0.00782843551886471,0.007333682966077577,0.007831080341087097
z_ecfp_14,0.0007620583153065785,0.005289665535790173,0.0073002364652584115,0.007320380401313874
z_ecfp_15,0.28542223503075426,0.007584277052104001,0.007057444846886963,0.007304886162966108
z_ecfp_16,0.14081123551426475,0.005553623461112299,0.00732069313539348,0.007481822500333128
z_ecfp_17,0.22041989415844884,0.006715764874769568,0.007230211368730434,0.007137292666115799
z_ecfp_18,1.9879514860333318,0.009607926857246468,0.008695576303730947,0.009467759817299293
z_ecfp_19,0.20892833529635121,0.0077772772551925,0.007826598460966087,0.00798624902592539
z_ecfp_20,0.3197562103717164,0.005739194810554016,0.007511796289471895,0.0077714765658286715
z_ecfp_21,0.2556740530496142,0.007601256001454001,0.007615212851969564,0.007547684351715651
z_ecfp_22,0.713205519365166,0.006133436796722002,0.00766892986279325,0.008397890090115353
z_ecfp_23,0.33467066968500436,0.0053122157867949715,0.0071841994876653105,0.0073249571972488995
z_ecfp_24,0.7169967576452311,0.01121218491324692,0.007352456177220607,0.007416965070905887
z_ecfp_25,1.4226627878347318,0.011049936790808053,0.008784422330305925,0.010322892622897794
z_ecfp_26,1.6627963879049352,0.016963626920615114,0.011173808205068794,0.01305961667554847
z_ecfp_27,0.8894170149958828,0.00939746804924394,0.007241090178210199,0.007101263576184548
z_ecfp_28,0.08824574547125698,0.00482714502664266,0.007464394503707687,0.0076904114722643625
z_ecfp_29,1.5112905260271376,0.01192488891892606,0.010134253061431977,0.01123928883314666
z_ecfp_30,0.26289590555415,0.008569710001385386,0.007350636392807523,0.007662566262897198
z_ecfp_31,1.6468518365846752,0.007723573835529845,0.00756712189747061,0.008552592698258267
z_ecfp_32,0.7114875988814117,0.008125964897114972,0.007899810162857476,0.00831325253352472
z_ecfp_33,0.4489026598027784,0.007553139626723982,0.007527669932129273,0.007673308203307523
z_ecfp_34,0.02879504820947437,0.00783020295616843,0.008290906093309205,0.009139975926333442
z_ecfp_35,0.6772323192083346,0.00684102643809526,0.00748266641270356,0.007772112517754695
z_ecfp_36,0.7303532203019204,0.008183171629430705,0.008443179288648744,0.009033262757316897
z_ecfp_37,1.1786585037668014,0.009093873026592952,0.008550576902716642,0.008928171647236131
z_ecfp_38,0.24491504841209558,0.0065428925781865245,0.0074082632700475035,0.007271206913666235
z_ecfp_39,0.5130089069797181,0.008517276538427673,0.007230303175891982,0.0073701368693341145
z_ecfp_40,0.1916479591412526,0.005326030688691299,0.007333399841899361,0.007724695630086999
z_ecfp_41,1.974563263825884,0.009017536641093811,0.00843496647074723,0.009101431805840552
z_ecfp_42,0.08354035194358614,0.007558799003262828,0.007267084185659205,0.007340088479162736
z_ecfp_43,0.3898284614067742,0.005416342380367409,0.00746207168892956,0.00746896127862269
z_ecfp_44,0.496019606989247,0.010046184359536052,0.008454843547536967,0.008686949040283833
z_ecfp_45,0.6160025608473719,0.005545991767850965,0.007772061919565789,0.008010703951896184
z_ecfp_46,1.697544583447044,0.009713055739526124,0.009704281109720965,0.010662076776086563
z_ecfp_47,0.8854064613597756,0.00725433051143771,0.007670398493097978,0.0077010993881419555
z_ecfp_48,0.14447232871281118,0.006066707510214706,0.007375378746620622,0.00751178371509963
z_ecfp_49,0.09424343197641374,0.008196200959854613,0.007429969339175189,0.007804783597829523
z_ecfp_50,0.2985860947179831,0.0071779323677028505,0.007768245206172796,0.008066090623760356
z_ecfp_51,0.2232001242514914,0.008694331891703185,0.008375078958311844,0.008841666085785207
z_ecfp_52,0.2655392592565245,0.009024610085407381,0.007355974423024211,0.007205803680532251
z_ecfp_53,0.46837037371758367,0.006478936406203732,0.007326594929910143,0.007768952931161597
z_ecfp_54,0.33793999806145514,0.007021853425499194,0.007496258568393278,0.007580414150631674
z_ecfp_55,0.9443156640682383,0.010615773073087005,0.009066961793381883,0.009966703726435287
z_ecfp_56,1.7113739597356328,0.01031413585413328,0.009480126177839271,0.011072634603991088
z_ecfp_57,0.8377214851980946,0.008298234004714937,0.006999338866798798,0.0075957954057664845
z_ecfp_58,1.189556301106964,0.009614182758404288,0.008201889149349004,0.00916366867597497
z_ecfp_59,1.0254203714962111,0.009821060081977235,0.008379613442539586,0.008814007801382012
z_ecfp_60,1.7977901737426851,0.014926566320677046,0.011181883431132572,0.013253061257210557
z_ecfp_61,2.447734466851861,0.03144112715838081,0.01853433820287659,0.024980904535389273
z_ecfp_62,0.8545584302783842,0.010485399308292837,0.008368226057450127,0.009895418033974653
z_ecfp_63,0.23792341979928144,0.006770682611522616,0.00768544363067509,0.007857730924555724
z_ecfp_64,0.6543838569303426,0.010475993497487268,0.007379846541313419,0.00733810161076446
z_ecfp_65,0.9793769366346766,0.006518221978413769,0.008301510485747973,0.008721645526206093
z_ecfp_66,1.3456482743128246,0.006585112359227441,0.010772619642750387,0.01302416475864082
z_ecfp_67,0.9523799303104307,0.008577644687028632,0.008634515551069028,0.009375508124893005
z_ecfp_68,1.694600362940221,0.013053100527184244,0.00959267257586713,0.01109118728250535
z_ecfp_69,0.2641323494708854,0.0041858833808976455,0.007366916347749703,0.007494743750220901
z_ecfp_70,0.12440373717253508,0.006620398795096154,0.007097641701124337,0.007241629697042814
z_ecfp_71,1.391718620696602,0.00779085962309715,0.008267092569936829,0.009380143719604953
z_ecfp_72,0.2754159547643482,0.008222931856076516,0.008570584210182941,0.0089665190458008
z_ecfp_73,1.2182367161057528,0.008581348536239418,0.008475396828234096,0.009259712621067017
z_ecfp_74,0.9762765932318052,0.007307390526077175,0.007769372546887873,0.008195255557511645
z_ecfp_75,0.7851590265711486,0.007667299717508221,0.0075239454025256315,0.00807545315405499
z_ecfp_76,0.40450149120180656,0.007519176764728193,0.007525627367685408,0.007973740776692422
z_ecfp_77,1.7029761818413696,0.012391379803002017,0.009764321589139771,0.010705520640830198
z_ecfp_78,1.5372779597794661,0.010486656056798565,0.007518823211801691,0.008118151807048184
z_ecfp_79,0.1756733515340221,0.008971966334386546,0.008066332913288251,0.008294670056263725
z_ecfp_80,1.0942909509633816,0.005824625804669874,0.007347771560960655,0.007332300525778176
z_ecfp_81,0.17566100244600094,0.01054796966509758,0.007442103022946321,0.008248139134389135
z_ecfp_82,0.13695575863096207,0.008402040413843504,0.00789581486562992,0.008307809674634981
z_ecfp_83,1.006950356372965,0.009442012627358798,0.007465871173354755,0.00799757806967703
z_ecfp_84,0.047673968150967735,0.007917527121167167,0.00787547766269178,0.00804692754496763
z_ecfp_85,0.241858724553954,0.007518984723438634,0.008029048917619469,0.008742936266051177
z_ecfp_86,1.6409181880488908,0.01028056141878404,0.00843285126824147,0.009234274515873027
z_ecfp_87,0.0028180745586991037,0.007128848210978521,0.007291916950746877,0.007476746734212749
z_ecfp_88,0.4563482546753776,0.007426206308110527,0.007781852337876771,0.008199665410078478
z_ecfp_89,0.3951603933164154,0.009334519076519195,0.007617128554146468,0.008298578145028355
z_ecfp_90,0.2616181027249146,0.007173968149149175,0.007259362485780763,0.007410370960087881
z_ecfp_91,0.5897205684423177,0.009330485253436365,0.007695869002806297,0.007984552254820788
z_ecfp_92,0.2406254306915609,0.010533254408752066,0.007431592237813478,0.008057744477871873
z_ecfp_93,0.26267857861069577,0.00727888392788444,0.007349704897203256,0.0072751339173659805
z_ecfp_94,0.05438831236776531,0.00579133998093913,0.007208519861384024,0.007468956952581205
z_ecfp_95,1.4571744572506247,0.0081891413285205,0.0076674379137923795,0.008184870704883664
z_ecfp_96,0.9235499409998088,0.008023317859448138,0.0075458985865998396,0.007969551751128144
z_ecfp_97,0.3968892403471549,0.007240711114472238,0.007302304005317457,0.007854791147125513
z_ecfp_98,0.3512110156165479,0.009051834022491842,0.007288386046596785,0.007475187123947167
z_ecfp_99,0.4974699145746231,0.0051912273572669925,0.007866318150210968,0.008406920856549467
